
File header [
	Cookie : RG
	Version : 0x30 0x33 
	File Size : 8328
	Numero de Waveforms : 2
	]

Waveform Header [
	Header size : 140
	Waveform Type : 1
	Number of Waveform Buffers : 1
	Number of Points : 1000
	Count : 0
	X Display Range : 0.000050
	X Display Origin : -0.000027
	X Increment : 0.000000
	X Origin : -0.000027
	X units : 2
	Y units : 1
	Fecha : 2024-04-13
	Hora : 17:42:42
	Modelo : HDO4804:HDO4A244000863
	Nombre de canal : CH1
	]

Waveform Data Header [
	Header size : 16
	Buffer type : 1
	Bytes Per Point : 4
	Buffer Size : 4000
	]

CH1 [
	
	-46.666668
	29.066668
	73.866669
	105.066673
	149.600006
	216.533340
	229.866684
	310.400024
	314.666687
	430.666687
	470.933350
	480.000031
	537.866699
	604.800049
	618.133362
	707.466675
	734.133362
	801.066711
	796.800049
	903.733398
	934.933411
	970.666687
	1010.933411
	1086.666748
	1095.733398
	1136.000000
	1176.000122
	1225.066772
	1269.866699
	1336.800049
	1363.466797
	1408.000122
	1479.466797
	1492.800049
	1506.133423
	1568.800049
	1608.800049
	1649.066772
	1640.000122
	1738.400146
	1738.400146
	1836.533447
	1827.466797
	1854.400146
	1881.066772
	1912.266724
	1925.600098
	1979.200073
	2006.133423
	2073.066895
	2059.733398
	2153.333496
	2140.000000
	2233.600098
	2220.266846
	2256.000000
	2260.533447
	2331.733398
	2313.866699
	2358.666748
	2380.800049
	2434.400146
	2434.400146
	2496.800049
	2505.866699
	2550.400146
	2550.400146
	2639.733398
	2577.333496
	2684.266846
	2675.466797
	2711.200195
	2729.066895
	2778.133545
	2755.733398
	2827.200195
	2822.666748
	2880.800049
	2894.133545
	2952.000244
	2929.866699
	2996.800049
	2952.000244
	3014.666748
	3023.466797
	3018.933594
	3005.600098
	3050.400146
	3063.733398
	3103.733398
	3081.600098
	3139.466797
	3112.800049
	3197.600098
	3148.533447
	3233.333496
	3237.600098
	3224.266846
	3197.600098
	3269.066895
	3255.466797
	3282.400146
	3295.733398
	3358.133545
	3313.600098
	3344.800293
	3331.466797
	3393.866943
	3358.133545
	3411.733398
	3367.200195
	3429.600098
	3402.933594
	3460.800293
	3438.400146
	3487.733398
	3460.800293
	3505.333496
	3483.200195
	3527.733398
	3492.000244
	3509.866943
	3545.600098
	3558.933594
	3501.066895
	3558.933594
	3518.933594
	3558.933594
	3536.800293
	3590.133545
	3523.200195
	3594.666748
	3536.800293
	3590.133545
	3563.466797
	3599.200195
	3563.466797
	3608.000244
	3558.933594
	3590.133545
	3554.666748
	3599.200195
	3545.600098
	3634.933594
	3541.066895
	3585.866943
	3550.133545
	3585.866943
	3545.600098
	3585.866943
	3568.000244
	3594.666748
	3558.933594
	3599.200195
	3518.933594
	3550.133545
	3492.000244
	3558.933594
	3523.200195
	3523.200195
	3501.066895
	3514.400146
	3474.133545
	3518.933594
	3465.333496
	3487.733398
	3416.266846
	3456.266846
	3416.266846
	3456.266846
	3380.533447
	3429.600098
	3371.466797
	3393.866943
	3326.933594
	3367.200195
	3340.266846
	3322.400146
	3282.400146
	3322.400146
	3277.866943
	3286.666748
	3197.600098
	3237.600098
	3210.933594
	3224.266846
	3175.200195
	3193.066895
	3121.600098
	3130.666748
	3112.800049
	3117.333496
	3063.733398
	3072.533447
	2969.866943
	3018.933594
	2969.866943
	2969.866943
	2916.533447
	2912.000244
	2880.800049
	2871.733398
	2840.533447
	2822.666748
	2760.266846
	2769.066895
	2746.933594
	2724.533447
	2653.066895
	2675.466797
	2630.933350
	2626.400146
	2577.333496
	2581.600098
	2492.533447
	2501.333496
	2479.200195
	2447.733398
	2389.866699
	2389.866699
	2331.733398
	2327.466797
	2273.866699
	2251.466797
	2242.666748
	2193.600098
	2153.333496
	2135.466797
	2077.333496
	2073.066895
	2014.933472
	2006.133423
	1925.600098
	1916.800049
	1849.866821
	1845.333374
	1791.733398
	1769.600098
	1742.666748
	1707.200073
	1617.866699
	1604.533447
	1541.866699
	1533.066772
	1484.000122
	1439.200073
	1430.400024
	1425.866699
	1332.266724
	1332.266724
	1274.133423
	1252.000122
	1171.466675
	1131.466675
	1091.200073
	1055.466675
	1010.933411
	988.533386
	912.800049
	859.200073
	832.533386
	778.933350
	738.666687
	716.266724
	640.533386
	636.000061
	551.200012
	506.666687
	462.133362
	448.533356
	363.733337
	341.600006
	296.800018
	229.866684
	180.800003
	145.066681
	105.066673
	56.000004
	-6.400001
	-42.133335
	-118.133339
	-153.866669
	-229.600006
	-234.133347
	-318.933350
	-350.133362
	-394.666687
	-452.800018
	-506.400024
	-528.533386
	-600.000061
	-631.200012
	-693.866699
	-720.533386
	-814.133362
	-818.666687
	-890.133362
	-863.200073
	-952.533386
	-979.466736
	-1006.133362
	-1050.666748
	-1126.666748
	-1171.200073
	-1224.800049
	-1251.466675
	-1282.933350
	-1327.466797
	-1358.666748
	-1407.733398
	-1456.800049
	-1519.200073
	-1523.733398
	-1564.000122
	-1648.800049
	-1604.000122
	-1724.533447
	-1706.666748
	-1769.333374
	-1746.933472
	-1809.333374
	-1831.733398
	-1876.266724
	-1916.533447
	-1956.533447
	-1978.933472
	-2014.666748
	-2032.533447
	-2086.133545
	-2130.666748
	-2139.733398
	-2170.933350
	-2193.066895
	-2228.800049
	-2246.666748
	-2291.200195
	-2340.533447
	-2362.666748
	-2393.866699
	-2429.600098
	-2460.800049
	-2483.200195
	-2501.066895
	-2532.266846
	-2590.400146
	-2590.400146
	-2626.133545
	-2612.533447
	-2634.933350
	-2684.000244
	-2688.533447
	-2715.200195
	-2719.733398
	-2773.333496
	-2791.200195
	-2804.533447
	-2804.533447
	-2844.800049
	-2835.733398
	-2911.733398
	-2907.200195
	-2942.933594
